Name,Type
sentences,Entity
training split,Entity
factuality,Entity
Helper LLM,Entity
Training dataset,Entity
A. J. Thirunavukarasu,Entity
40.2%,Entity
tail incompleteness,Entity
top 20 tokens,Entity
β-cells,Entity
contextually relevant triples,Entity
injected chain graphs,Entity
no dropout,Entity
Sec. 3,Entity
current LLMs,Entity
syntactic space and semantic space,Entity
advanced commercial systems,Entity
FActScore,Entity
Jiri Hron,Entity
training language models on the knowledge graph and hallucination detectability,Entity
text from PubMed papers related to diabetes,Entity
cosine similarity,Entity
diversity,Entity
downstream target,Entity
misinformation,Entity
auditable and editable persistent knowledge bases,Entity
similarity scores,Entity
Google The Keyword Blog,Entity
Jenny Huang,Entity
"Bhaskarjit Sarmah, Benika Hall, Rohan Rao, Sunil Patel, Stefano Pasquali, Dhagash Mehta",Entity
evolving KGs,Entity
undesired relations,Entity
head entities,Entity
extraction pipeline,Entity
medline,Entity
short obvious facts,Entity
LLM-extracted triples,Entity
machine learning components,Entity
extracted KGs,Entity
a single predefined context window,Entity
Table C1,Entity
Table B1 top relation,Entity
diseases,Entity
semi-structured data,Entity
Haoyu Huang et al.,Entity
validity verification of triple logical alignment to FActScore,Entity
AI,Entity
medicine,Entity
Kelvin Xu,Entity
whole dataset,Entity
Gamaleldin Fathy Elsayed,Entity
Kawin Ethayarajh,Entity
Princeton cluster,Entity
ontology,Entity
Joseph Bloom,Entity
Rohan Rao,Entity
"Insights, techniques, and evaluation for LLM-driven knowledge graphs",Entity
Bhaskarjit Sarmah,Entity
LLM,Entity
semantic validation,Entity
training,Entity
sequence,Entity
GO,Entity
Frontiers in Big Data,Entity
Score_bucket_size_and_relation_bucket_size,Entity
9.2% overall accuracy gain on ICD-Bench,Entity
GraphMERT triples,Entity
relational knowledge,Entity
abstract sequence,Entity
RoBERTa: a robustly optimized BERT pretraining approach,Entity
"515,460 triples",Entity
top-k predicted tokens,Entity
function,Entity
missing links,Entity
R. Stuart Geiger,Entity
kidney structure,Entity
Duantengchuan Li,Entity
knowledge-cutoff issues,Entity
training seed KG,Entity
proposed pipeline,Entity
one triple per head,Entity
external/world knowledge,Entity
audit,Entity
nonsensical or unfaithful outputs,Entity
small_samples_of_triples_for_IGF-1_and_GR_from_each_KG,Entity
r,Entity
KG extraction,Entity
injected triple,Entity
"Lingfeng Zhong, Jia Wu, Qian Li, Hao Peng, Xindong Wu",Entity
errors,Entity
final node embedding,Entity
Complete symbolic grounding,Entity
external explicit sources,Entity
neuro-symbolic approaches in artificial intelligence,Entity
MNM,Entity
Gaurav Pandey,Entity
'side',Entity
rejections,Entity
new tail token t'i,Entity
We,Entity
UMLS triples,Entity
GPT-5 screening_results_for_GR,Entity
factual (with provenance),Entity
GraphRAG Local Search,Entity
four H100 GPUs,Entity
maximizing LLM performance with less data (quality-quantity trade-off),Entity
ontological alignment of triples via an LLM judge,Entity
image classification,Entity
Symbolic systems,Entity
FActScore*,Entity
source-aware training for knowledge attribution in language models,Entity
Local Search method,Entity
UMLS concepts,Entity
atomic facts against a trusted text source,Entity
GR,Entity
Chronic kidney disease (CKD),Entity
acceptance threshold β,Entity
"the triple 〈beta-receptor, part_of, adrenergic signaling〉 as invalid",Entity
scalability and robustness to noise,Entity
MRE: translational knowledge graph completion model based on multiple relation embedding,Entity
UMLS constraints,Entity
Prakamya Mishra et al.,Entity
root space,Entity
triple evaluation,Entity
ease of use,Entity
explainability,Entity
State-of-the-art LLM capabilities,Entity
generic transformer architecture,Entity
glucocorticoid signaling,Entity
attention-based learning,Entity
Larger and more instructable language models become less reliable,Entity
domain-specific depth,Entity
"Lexin Zhou, Wout Schellaert, Fernando Martínez-Plumed, Yael Moros-Daval, Cèsar Ferri, José Hernández-Orallo",Entity
BioMedBERT tokenizer to reduce medical subword tokenization,Entity
scalability and factuality of retrieval,Entity
random seed 3,Entity
Example GraphMERT-extracted triple,Entity
GraphMERT model,Entity
LLM baseline KG,Entity
reporting of human-labeled training data provenance in machine learning papers,Entity
semantic and syntactic information,Entity
linearized sentence,Entity
insulin resistance,Entity
acceptance,Entity
Lingfeng Zhong,Entity
domain-appropriate,Entity
No-span MLM/MNM,Entity
Lexin Zhou,Entity
These systems,Entity
extract relational factual knowledge from pre-trained encoder-only models,Entity
insulin signaling,Entity
"Proceedings of the International Conference on Electrical, Mechanical and Computer Engineering",Entity
semantic similarity matching,Entity
KG verification,Entity
Alex Krizhevsky et al.,Entity
Hanie Sedghi,Entity
Mathematica version 14.3,Entity
"Yuqi Zhu, Xiaohan Wang, Jing Chen, Shuofei Qiao, Yixin Ou, Yunzhi Yao, Shumin Deng, Huajun Chen, Ningyu Zhang",Entity
strong LLM judge,Entity
random seed 2,Entity
validity of triples,Entity
tail token,Entity
relation discovery,Entity
example,Entity
intermediate size 2048,Entity
new textual data format,Entity
exact string matching,Entity
Yun Xiong,Entity
Fabio Petroni,Entity
Rule-based information extraction systems,Entity
Unified Medical Language System,Entity
existing KG extraction methods,Entity
prompt structure,Entity
nodes V,Entity
isa_8627_injections,Entity
"effect of scaling, retrieval augmentation and form on factual consistency of language models",Entity
recent medical studies,Entity
GraphRAG output accuracy,Entity
automatic KG derivation,Entity
node encoding,Entity
KG injection algorithm,Entity
knowledge conflicts,Entity
Yixin Ou,Entity
uan Qi,Entity
triple-level error analysis,Entity
multi-step knowledge acquisition,Entity
scale mismatches,Entity
Similarity filter,Entity
