:START_ID,:END_ID,:TYPE
GraphMERT,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
knowledge graphs,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
encoder-only transformer,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
masked language modeling,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
masked node modeling,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
high-quality domain-specific texts,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
seed KG,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
factual and valid domain-specific KG,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
GraphMERT-extracted KG,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
69.8% FActScore,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
32B-parameter LLM baseline,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
40.2% FActScore,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
68.8% ValidityScore,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
LLM-generated KG baseline,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
43.0% ValidityScore,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
"LLMs (e.g., Qwen3-32B)",119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
prompt sensitivity and hallucinations,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
LLMs,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
provenance for generated facts,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
Knowledge graphs,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
interpretability and provenance,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
Seed KG,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
ontological relation usage patterns,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
GraphMERT framework,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
small seed KG and ∼100M tokens,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
GraphMERT (80M parameters),119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
large LLMs (billions of parameters),119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
Human experts,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
edit and audit extracted KGs,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
Neurosymbolic AI stack,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
GraphMERT and its equivalent KG,119614c37f10e79aa7794098b2e8e2697c291b53efc174ff8083e90055bcc9da,Source
