:START_ID,:END_ID,relation,concepts,synsets,:TYPE
GraphMERT,knowledge graphs,distills,[],[],Relation
GraphMERT,encoder-only transformer,is implemented as,[],[],Relation
GraphMERT,masked language modeling,leverages,[],[],Relation
GraphMERT,masked node modeling,leverages,[],[],Relation
GraphMERT,high-quality domain-specific texts,is trained on,[],[],Relation
GraphMERT,seed KG,is trained with,[],[],Relation
GraphMERT,factual and valid domain-specific KG,produces,[],[],Relation
GraphMERT-extracted KG,69.8% FActScore,achieves,[],[],Relation
32B-parameter LLM baseline,40.2% FActScore,achieves,[],[],Relation
GraphMERT-extracted KG,68.8% ValidityScore,achieves,[],[],Relation
LLM-generated KG baseline,43.0% ValidityScore,achieves,[],[],Relation
"LLMs (e.g., Qwen3-32B)",prompt sensitivity and hallucinations,suffer from,[],[],Relation
LLMs,provenance for generated facts,lack,[],[],Relation
Knowledge graphs,interpretability and provenance,provide,[],[],Relation
Seed KG,ontological relation usage patterns,imposes,[],[],Relation
GraphMERT framework,small seed KG and ∼100M tokens,requires,[],[],Relation
GraphMERT (80M parameters),large LLMs (billions of parameters),is more efficient than,[],[],Relation
Human experts,edit and audit extracted KGs,can,[],[],Relation
Neurosymbolic AI stack,GraphMERT and its equivalent KG,is formed by,[],[],Relation
GraphMERT + KG,"attributable, editable, and auditable AI",enables,[],[],Relation
Neurosymbolic AI synthesizes neural learning with symbolic reasoning,uniting the two paradigms combines flexibility with interpretability and sound reasoning,because,[],[],Relation
Most neurosymbolic AI frameworks fail to scale,implicit representations and approximate reasoning of purely neural approaches limit interpretability and trust,because,[],[],Relation
Automatically deriving reliable KGs from text corpora has remained an open problem,"existing approaches do not meet the requirements for factuality, validity, automation, scalability, domain generality, and global integration",because,[],[],Relation
GraphMERT distills high-quality KGs from unstructured text and internal representations,GraphMERT and its equivalent KG form a modular neurosymbolic stack,to the same time,[],[],Relation
GraphMERT + KG achieves state-of-the-art benchmark accuracy and superior symbolic representations,GraphMERT is the first efficient and scalable neurosymbolic model to do so relative to baselines,as a result,[],[],Relation
Off-the-shelf LLMs generate domain-specific KGs that fall short on reliability,"LLMs suffer from prompt sensitivity, shallow domain expertise, and hallucinated relations",because,[],[],Relation
An 80M-parameter GraphMERT yields a KG with a 69.8% FActScore on PubMed diabetes text,a 32B-parameter baseline LLM yields a KG with only a 40.2% FActScore,as a result,[],[],Relation
The GraphMERT-extracted KG achieves a higher ValidityScore than the LLM baseline,GraphMERT preserves ontology alignment and relation usage patterns from the seed KG,because,[],[],Relation
Human experts can edit and audit the extracted KGs,the reliability of the extracted KGs can be further increased,as a result,[],[],Relation
LLMs are oblivious to their training sources,prompt-based KG distillation from an LLM's weights does not provide source attribution,because,[],[],Relation
Fine-tuned models demonstrate higher accuracy and fewer hallucinations,fine-tuning adapts models to the domains they are trained on,because,[],[],Relation
Fine-tuning requires labeled training data,fine-tuning negatively impacts generalization and reduces adaptability to other knowledge domains,as a result,[],[],Relation
KG extraction from off-the-shelf LLMs is confined to a single context window,extracted triples are often local and may reflect spurious correlations rather than global facts,as a result,[],[],Relation
Extending context length degrades output quality,hallucinations become more frequent and the model's ability to harness lengthy input degrades,as a result,[],[],Relation
High-quality data are scarce,building a reliable domain-specific KG from limited high-quality sources becomes the central question,as a result,[],[],Relation
GraphMERT jointly learns semantic representations from a seed KG and syntactic representations from text,it minimizes masked language modeling and masked node modeling losses,because,[],[],Relation
Researchers have pursued neurosymbolic artificial intelligence (AI) applications for nearly three decades because symbolic components provide abstraction while neural components provide generalization.,Researchers,is participated by,[],[],Relation
Researchers have pursued neurosymbolic artificial intelligence (AI) applications for nearly three decades because symbolic components provide abstraction while neural components provide generalization.,neurosymbolic artificial intelligence (AI) applications,is participated by,[],[],Relation
Researchers have pursued neurosymbolic artificial intelligence (AI) applications for nearly three decades because symbolic components provide abstraction while neural components provide generalization.,symbolic components,is participated by,[],[],Relation
Researchers have pursued neurosymbolic artificial intelligence (AI) applications for nearly three decades because symbolic components provide abstraction while neural components provide generalization.,neural components,is participated by,[],[],Relation
A marriage of the two components can lead to rapid advancements in AI.,symbolic components,is participated by,[],[],Relation
A marriage of the two components can lead to rapid advancements in AI.,neural components,is participated by,[],[],Relation
A marriage of the two components can lead to rapid advancements in AI.,AI,is participated by,[],[],Relation
Most neurosymbolic AI frameworks fail to scale.,neurosymbolic AI frameworks,is participated by,[],[],Relation
The implicit representations and approximate reasoning of purely neural approaches limit interpretability and trust.,implicit representations,is participated by,[],[],Relation
The implicit representations and approximate reasoning of purely neural approaches limit interpretability and trust.,approximate reasoning,is participated by,[],[],Relation
The implicit representations and approximate reasoning of purely neural approaches limit interpretability and trust.,purely neural approaches,is participated by,[],[],Relation
The implicit representations and approximate reasoning of purely neural approaches limit interpretability and trust.,interpretability,is participated by,[],[],Relation
The implicit representations and approximate reasoning of purely neural approaches limit interpretability and trust.,trust,is participated by,[],[],Relation
