name:ID,type,concepts,synsets,:LABEL
GraphMERT,entity,[],[],Node
knowledge graphs,entity,[],[],Node
encoder-only transformer,entity,[],[],Node
masked language modeling,entity,[],[],Node
masked node modeling,entity,[],[],Node
high-quality domain-specific texts,entity,[],[],Node
seed KG,entity,[],[],Node
factual and valid domain-specific KG,entity,[],[],Node
GraphMERT-extracted KG,entity,[],[],Node
69.8% FActScore,entity,[],[],Node
32B-parameter LLM baseline,entity,[],[],Node
40.2% FActScore,entity,[],[],Node
68.8% ValidityScore,entity,[],[],Node
LLM-generated KG baseline,entity,[],[],Node
43.0% ValidityScore,entity,[],[],Node
"LLMs (e.g., Qwen3-32B)",entity,[],[],Node
prompt sensitivity and hallucinations,entity,[],[],Node
LLMs,entity,[],[],Node
provenance for generated facts,entity,[],[],Node
Knowledge graphs,entity,[],[],Node
interpretability and provenance,entity,[],[],Node
Seed KG,entity,[],[],Node
ontological relation usage patterns,entity,[],[],Node
GraphMERT framework,entity,[],[],Node
small seed KG and ∼100M tokens,entity,[],[],Node
GraphMERT (80M parameters),entity,[],[],Node
large LLMs (billions of parameters),entity,[],[],Node
Human experts,entity,[],[],Node
edit and audit extracted KGs,entity,[],[],Node
Neurosymbolic AI stack,entity,[],[],Node
GraphMERT and its equivalent KG,entity,[],[],Node
GraphMERT + KG,entity,[],[],Node
"attributable, editable, and auditable AI",entity,[],[],Node
Neurosymbolic AI synthesizes neural learning with symbolic reasoning,event,[],[],Node
uniting the two paradigms combines flexibility with interpretability and sound reasoning,event,[],[],Node
Most neurosymbolic AI frameworks fail to scale,event,[],[],Node
implicit representations and approximate reasoning of purely neural approaches limit interpretability and trust,event,[],[],Node
Automatically deriving reliable KGs from text corpora has remained an open problem,event,[],[],Node
"existing approaches do not meet the requirements for factuality, validity, automation, scalability, domain generality, and global integration",event,[],[],Node
GraphMERT distills high-quality KGs from unstructured text and internal representations,event,[],[],Node
GraphMERT and its equivalent KG form a modular neurosymbolic stack,event,[],[],Node
GraphMERT + KG achieves state-of-the-art benchmark accuracy and superior symbolic representations,event,[],[],Node
GraphMERT is the first efficient and scalable neurosymbolic model to do so relative to baselines,event,[],[],Node
Off-the-shelf LLMs generate domain-specific KGs that fall short on reliability,event,[],[],Node
"LLMs suffer from prompt sensitivity, shallow domain expertise, and hallucinated relations",event,[],[],Node
An 80M-parameter GraphMERT yields a KG with a 69.8% FActScore on PubMed diabetes text,event,[],[],Node
a 32B-parameter baseline LLM yields a KG with only a 40.2% FActScore,event,[],[],Node
